size,lang,mode,query,retrieved_top10,precision,recall,elapsed_ms
500,en,HRR,Q2,"[215, 242, 212, 225, 190, 134, 198, 191, 161, 336]",0.0000,0.0000,39.150
500,en,HRR,Q3,"[302, 231, 141, 159, 228, 147, 160, 175, 210, 370]",0.0000,0.0000,630.820
500,en,HRR,Q4,"[[15, 43], [22, 43], [43, 107], [43, 46], [43, 47], [43, 82], [43, 81], [39, 43], [43, 50], [43, 65]]",0.0000,0.0000,104.280
500,en,HRR,Q5,"[490, 487, 480, 488, 475, 498, 476, 486, 497, 493]",1.0000,0.4000,11.550
500,en,HRR,Q6,[],0.0000,0.0000,0.150
500,en,noHRR,Q1,"[474, 475, 476, 477, 478, 479, 480, 481, 482, 483]",1.0000,0.4000,0.510
500,en,noHRR,Q2,"[474, 475, 476, 477, 478, 479, 480, 481, 482, 483]",1.0000,0.4000,0.310
500,en,noHRR,Q3,"[6, 8, 9, 13, 16, 23, 25, 28, 31, 32]",1.0000,0.0667,1.230
500,en,noHRR,Q4,[],0.0000,0.0000,0.010
500,en,noHRR,Q5,"[474, 475, 476, 477, 478, 479, 480, 481, 482, 483]",1.0000,0.4000,0.390
500,en,noHRR,Q6,[],0.0000,0.0000,0.080
